Reference, Quantity, Value, Footprint, Datasheet
A401 ,1,"Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
C201 C202 C203 C213 C214 C215 ,6,"100p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C210 C204 C205 C211 C206 C207 C212 C208 C209 C222 C216 C217 C223 C218 C219 C224 C220 C221 C405 C402 C403 C408 C407 C404 ,24,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C301 C302 C406 ,3,"100u/16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C401 ,1,"47u/35V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
D201 D202 D203 D204 D205 D206 ,6,"BZT52B5V6","Diode_SMD:D_SOD-123","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf"
D301 D302 ,2,"TS4148","Diode_SMD:D_0805_2012Metric",""
D401 ,1,"B140-E3","Diode_SMD:D_SMA","http://www.vishay.com/docs/88946/b120.pdf"
F201 F202 F203 F204 F205 F206 ,6,"SN005","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
J201 ,1,"INPUTS","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-12-5.08_1x12_P5.08mm_Horizontal","~"
J301 ,1,"OUTPUTS","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal","~"
J401 ,1,"Pwr","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~"
K301 K302 ,2,"LEG-12","jt_relay:Relay_SPDT_RAYEX ELEC_LEG_Series_Form_1C","https://www.tme.eu/Document/311affc211749c2a4c93ad074af62b72/LEG-SERIES.pdf"
Q301 Q302 ,2,"BC847","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
R202 R201 R204 R203 R206 R205 R226 R225 R228 R227 R230 R229 ,12,"100R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R207 R210 R212 R215 R217 R220 R231 R234 R236 R239 R241 R244 R401 ,13,"12k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R209 R208 R214 R213 R219 R218 R233 R232 R238 R237 R243 R242 ,12,"3k3","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R211 R216 R221 R235 R240 R245 ,6,"51R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R222 R223 R224 R246 R247 R248 ,6,"2R7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R303 R304 ,2,"330R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R305 R301 R306 R302 ,4,"4k7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
U201 U202 U203 U204 U205 U206 ,6,"74HC4052","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/cd4052b.pdf"
U401 ,1,"MAX485E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf"
U402 ,1,"LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
U403 ,1,"74HC595","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
