Ref,Val,Package,PosX,PosY,Rot,Side
"C201","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.500000,73.500000,90.000000,bottom
"C202","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.500000,73.500000,90.000000,bottom
"C203","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.500000,73.500000,90.000000,bottom
"C204","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.350000,55.000000,180.000000,bottom
"C205","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.500000,53.000000,0.000000,bottom
"C206","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.500000,55.000000,180.000000,bottom
"C207","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.500000,53.000000,0.000000,bottom
"C208","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.500000,55.000000,180.000000,bottom
"C209","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.500000,53.000000,0.000000,bottom
"C210","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,69.500000,90.000000,bottom
"C211","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.000000,69.500000,90.000000,bottom
"C212","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.000000,69.500000,90.000000,bottom
"C213","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.500000,73.500000,90.000000,bottom
"C214","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.500000,73.500000,90.000000,bottom
"C215","100p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.000000,73.500000,90.000000,bottom
"C216","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.500000,55.000000,180.000000,bottom
"C217","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.500000,53.000000,0.000000,bottom
"C218","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.500000,55.000000,180.000000,bottom
"C219","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.500000,53.000000,0.000000,bottom
"C220","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.600000,55.000000,180.000000,bottom
"C221","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.700000,53.000000,0.000000,bottom
"C222","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.000000,69.500000,90.000000,bottom
"C223","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.000000,69.500000,90.000000,bottom
"C224","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.000000,69.500000,90.000000,bottom
"C402","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.250000,25.000000,90.000000,bottom
"C403","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.750000,11.500000,90.000000,bottom
"C404","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.000000,38.000000,90.000000,bottom
"C405","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.250000,29.250000,270.000000,bottom
"C407","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.500000,44.750000,180.000000,bottom
"C408","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.700000,44.750000,0.000000,bottom
"D201","BZT52B5V6","D_SOD-123",59.000000,77.000000,180.000000,bottom
"D202","BZT52B5V6","D_SOD-123",48.000000,77.000000,180.000000,bottom
"D203","BZT52B5V6","D_SOD-123",37.000000,77.000000,180.000000,bottom
"D204","BZT52B5V6","D_SOD-123",26.000000,77.000000,180.000000,bottom
"D205","BZT52B5V6","D_SOD-123",15.000000,77.000000,180.000000,bottom
"D206","BZT52B5V6","D_SOD-123",4.250000,77.000000,180.000000,bottom
"D301","TS4148","D_0805_2012Metric",37.000000,20.000000,90.000000,bottom
"D302","TS4148","D_0805_2012Metric",58.000000,20.000000,90.000000,bottom
"D401","B140-E3","D_SMA",11.000000,12.000000,270.000000,bottom
"F201","SN005","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",64.000000,77.000000,0.000000,bottom
"F202","SN005","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",53.000000,77.000000,0.000000,bottom
"F203","SN005","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",42.000000,77.000000,0.000000,bottom
"F204","SN005","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",31.000000,77.000000,0.000000,bottom
"F205","SN005","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",20.000000,77.000000,0.000000,bottom
"F206","SN005","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",9.250000,77.000000,0.000000,bottom
"Q301","BC847","SOT-23",37.000000,24.000000,0.000000,bottom
"Q302","BC847","SOT-23",58.000000,24.000000,0.000000,bottom
"R201","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.000000,73.500000,90.000000,bottom
"R202","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.500000,69.500000,90.000000,bottom
"R203","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.500000,73.500000,90.000000,bottom
"R204","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.500000,69.500000,90.000000,bottom
"R205","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.500000,73.500000,90.000000,bottom
"R206","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.500000,69.500000,90.000000,bottom
"R207","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.000000,69.500000,90.000000,bottom
"R208","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,73.500000,90.000000,bottom
"R209","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.250000,54.000000,90.000000,bottom
"R210","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.500000,55.000000,180.000000,bottom
"R211","51R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.000000,73.500000,90.000000,bottom
"R212","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.500000,69.500000,90.000000,bottom
"R213","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.000000,73.500000,90.000000,bottom
"R214","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.500000,54.000000,90.000000,bottom
"R215","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.500000,55.000000,180.000000,bottom
"R216","51R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.000000,73.500000,90.000000,bottom
"R217","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.500000,69.500000,90.000000,bottom
"R218","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.000000,73.500000,90.000000,bottom
"R219","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.500000,54.000000,90.000000,bottom
"R220","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.500000,55.000000,180.000000,bottom
"R221","51R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.000000,73.500000,90.000000,bottom
"R222","2R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.000000,69.525000,90.000000,bottom
"R223","2R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.000000,69.500000,90.000000,bottom
"R224","2R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.000000,69.500000,90.000000,bottom
"R225","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.500000,73.500000,90.000000,bottom
"R226","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.500000,69.500000,90.000000,bottom
